source,target,distance,link_type
N0665,N0672,0.0057,short_chord
N0666,N0673,0.0094,short_chord
N0667,N0674,0.0131,short_chord
N0668,N0675,0.0028,short_chord
N0669,N0676,0.0065,short_chord
N0670,N0677,0.0102,short_chord
N0671,N0678,0.0139,short_chord
N0672,N0679,0.0036,short_chord
N0673,N0680,0.0073,short_chord
N0674,N0681,0.0110,short_chord
N0675,N0682,0.0007,short_chord
N0676,N0683,0.0044,short_chord
N0677,N0684,0.0081,short_chord
N0678,N0685,0.0118,short_chord
N0679,N0686,0.0015,short_chord
N0680,N0687,0.0052,short_chord
N0681,N0688,0.0089,short_chord
N0682,N0689,0.0126,short_chord
N0683,N0690,0.0023,short_chord
N0684,N0691,0.0060,short_chord
N0685,N0692,0.0097,short_chord
N0686,N0693,0.0134,short_chord
N0687,N0694,0.0031,short_chord
N0688,N0695,0.0068,short_chord
N0689,N0696,0.0105,short_chord
N0690,N0697,0.0002,short_chord
N0691,N0698,0.0039,short_chord
N0692,N0699,0.0076,short_chord
N0693,N0700,0.0113,short_chord
N0694,N0701,0.0010,short_chord
N0695,N0702,0.0047,short_chord
N0696,N0703,0.0084,short_chord
N0697,N0704,0.0121,short_chord
N0698,N0705,0.0018,short_chord
N0699,N0706,0.0055,short_chord
N0700,N0707,0.0092,short_chord
N0701,N0708,0.0129,short_chord
N0702,N0709,0.0026,short_chord
N0703,N0710,0.0063,short_chord
N0704,N0711,0.0100,short_chord
N0705,N0712,0.0137,short_chord
N0706,N0713,0.0034,short_chord
N0707,N0714,0.0071,short_chord
N0708,N0715,0.0108,short_chord
N0709,N0716,0.0005,short_chord
N0710,N0717,0.0042,short_chord
N0711,N0718,0.0079,short_chord
N0712,N0719,0.0116,short_chord
N0713,N0720,0.0013,short_chord
N0714,N0721,0.0050,short_chord
N0715,N0722,0.0087,short_chord
N0716,N0723,0.0124,short_chord
N0717,N0724,0.0021,short_chord
N0718,N0725,0.0058,short_chord
N0719,N0726,0.0095,short_chord
N0720,N0727,0.0132,short_chord
N0721,N0728,0.0029,short_chord
N0722,N0729,0.0066,short_chord
N0723,N0730,0.0103,short_chord
N0724,N0731,0.0140,short_chord
N0725,N0732,0.0037,short_chord
N0726,N0733,0.0074,short_chord
N0727,N0734,0.0111,short_chord
N0728,N0735,0.0008,short_chord
N0729,N0736,0.0045,short_chord
N0730,N0737,0.0082,short_chord
N0731,N0738,0.0119,short_chord
N0732,N0739,0.0016,short_chord
N0733,N0740,0.0053,short_chord
N0734,N0741,0.0090,short_chord
N0735,N0742,0.0127,short_chord
N0736,N0743,0.0024,short_chord
N0737,N0744,0.0061,short_chord
N0738,N0745,0.0098,short_chord
N0739,N0746,0.0135,short_chord
N0740,N0747,0.0032,short_chord
N0741,N0748,0.0069,short_chord
N0742,N0749,0.0106,short_chord
N0743,N0750,0.0003,short_chord
N0744,N0751,0.0040,short_chord
N0745,N0752,0.0077,short_chord
N0746,N0753,0.0114,short_chord
N0747,N0754,0.0011,short_chord
N0748,N0755,0.0048,short_chord
N0749,N0756,0.0085,short_chord
N0750,N0757,0.0122,short_chord
N0751,N0758,0.0019,short_chord
N0752,N0759,0.0056,short_chord
N0753,N0760,0.0093,short_chord
N0754,N0761,0.0130,short_chord
N0755,N0762,0.0027,short_chord
N0756,N0763,0.0064,short_chord
N0757,N0764,0.0101,short_chord
N0758,N0765,0.0138,short_chord
N0759,N0766,0.0035,short_chord
N0760,N0767,0.0072,short_chord
N0761,N0768,0.0109,short_chord
N0762,N0769,0.0006,short_chord
N0763,N0770,0.0043,short_chord
N0764,N0771,0.0080,short_chord
N0765,N0772,0.0117,short_chord
N0766,N0773,0.0014,short_chord
N0767,N0774,0.0051,short_chord
N0768,N0775,0.0088,short_chord
N0769,N0776,0.0125,short_chord
N0770,N0777,0.0022,short_chord
N0771,N0778,0.0059,short_chord
N0772,N0779,0.0096,short_chord
N0773,N0780,0.0133,short_chord
N0774,N0781,0.0030,short_chord
N0775,N0782,0.0067,short_chord
N0776,N0783,0.0104,short_chord
N0777,N0784,0.0001,short_chord
N0778,N0785,0.0038,short_chord
N0779,N0786,0.0075,short_chord
N0780,N0787,0.0112,short_chord
N0781,N0788,0.0009,short_chord
N0782,N0789,0.0046,short_chord
N0783,N0790,0.0083,short_chord
N0784,N0791,0.0120,short_chord
N0785,N0792,0.0017,short_chord
N0786,N0793,0.0054,short_chord
N0787,N0794,0.0091,short_chord
N0788,N0795,0.0128,short_chord
N0789,N0796,0.0025,short_chord
N0790,N0797,0.0062,short_chord
N0791,N0798,0.0099,short_chord
N0792,N0799,0.0136,short_chord
N0793,N0800,0.0033,short_chord
N0794,N0801,0.0070,short_chord
N0795,N0802,0.0107,short_chord
N0796,N0803,0.0004,short_chord
N0797,N0804,0.0041,short_chord
N0798,N0805,0.0078,short_chord
N0799,N0806,0.0115,short_chord
N0800,N0807,0.0012,short_chord
N0801,N0808,0.0049,short_chord
N0802,N0809,0.0086,short_chord
N0803,N0810,0.0123,short_chord
N0804,N0811,0.0020,short_chord
N0805,N0812,0.0057,short_chord
N0806,N0813,0.0094,short_chord
N0807,N0814,0.0131,short_chord
N0808,N0815,0.0028,short_chord
N0809,N0816,0.0065,short_chord
N0810,N0817,0.0102,short_chord
N0811,N0818,0.0139,short_chord
N0812,N0819,0.0036,short_chord
N0813,N0820,0.0073,short_chord
N0814,N0821,0.0110,short_chord
N0815,N0822,0.0007,short_chord
N0816,N0823,0.0044,short_chord
N0817,N0824,0.0081,short_chord
N0818,N0825,0.0118,short_chord
N0819,N0826,0.0015,short_chord
N0820,N0827,0.0052,short_chord
N0821,N0828,0.0089,short_chord
N0822,N0829,0.0126,short_chord
N0823,N0830,0.0023,short_chord
N0824,N0831,0.0060,short_chord
N0825,N0832,0.0097,short_chord
N0826,N0833,0.0134,short_chord
N0827,N0834,0.0031,short_chord
N0828,N0835,0.0068,short_chord
N0829,N0836,0.0105,short_chord
N0830,N0837,0.0002,short_chord
N0831,N0838,0.0039,short_chord
N0832,N0839,0.0076,short_chord
N0833,N0840,0.0113,short_chord
N0834,N0841,0.0010,short_chord
N0835,N0842,0.0047,short_chord
N0836,N0843,0.0084,short_chord
N0837,N0844,0.0121,short_chord
N0838,N0845,0.0018,short_chord
N0839,N0846,0.0055,short_chord
N0840,N0847,0.0092,short_chord
N0841,N0848,0.0129,short_chord
N0842,N0849,0.0026,short_chord
N0843,N0850,0.0063,short_chord
N0844,N0851,0.0100,short_chord
N0845,N0852,0.0137,short_chord
N0846,N0853,0.0034,short_chord
N0847,N0854,0.0071,short_chord
N0848,N0855,0.0108,short_chord
N0849,N0856,0.0005,short_chord
N0850,N0857,0.0042,short_chord
N0851,N0858,0.0079,short_chord
N0852,N0859,0.0116,short_chord
N0853,N0860,0.0013,short_chord
N0854,N0861,0.0050,short_chord
N0855,N0862,0.0087,short_chord
N0856,N0863,0.0124,short_chord
N0857,N0864,0.0021,short_chord
N0858,N0865,0.0058,short_chord
N0859,N0866,0.0095,short_chord
N0860,N0867,0.0132,short_chord
N0861,N0868,0.0029,short_chord
N0862,N0869,0.0066,short_chord
N0863,N0870,0.0103,short_chord
N0864,N0871,0.0140,short_chord
N0865,N0872,0.0037,short_chord
N0866,N0873,0.0074,short_chord
N0867,N0874,0.0111,short_chord
N0868,N0875,0.0008,short_chord
N0869,N0876,0.0045,short_chord
N0870,N0877,0.0082,short_chord
N0871,N0878,0.0119,short_chord
N0872,N0879,0.0016,short_chord
N0873,N0880,0.0053,short_chord
N0874,N0881,0.0090,short_chord
N0875,N0882,0.0127,short_chord
N0876,N0883,0.0024,short_chord
N0877,N0884,0.0061,short_chord
N0878,N0885,0.0098,short_chord
N0879,N0886,0.0135,short_chord
N0880,N0887,0.0032,short_chord
N0881,N0888,0.0069,short_chord
N0882,N0889,0.0106,short_chord
N0883,N0890,0.0003,short_chord
N0884,N0891,0.0040,short_chord
N0885,N0892,0.0077,short_chord
N0886,N0893,0.0114,short_chord
N0887,N0894,0.0011,short_chord
N0888,N0895,0.0048,short_chord
N0889,N0896,0.0085,short_chord
N0890,N0897,0.0122,short_chord
N0891,N0898,0.0019,short_chord
N0892,N0899,0.0056,short_chord
N0893,N0900,0.0093,short_chord
N0894,N0901,0.0130,short_chord
N0895,N0902,0.0027,short_chord
N0896,N0903,0.0064,short_chord
N0897,N0904,0.0101,short_chord
N0898,N0905,0.0138,short_chord
N0899,N0906,0.0035,short_chord
N0900,N0907,0.0072,short_chord
N0901,N0908,0.0109,short_chord
N0902,N0909,0.0006,short_chord
N0903,N0910,0.0043,short_chord
N0904,N0911,0.0080,short_chord
N0905,N0912,0.0117,short_chord
N0906,N0913,0.0014,short_chord
N0907,N0914,0.0051,short_chord
N0908,N0915,0.0088,short_chord
N0909,N0916,0.0125,short_chord
N0910,N0917,0.0022,short_chord
N0911,N0918,0.0059,short_chord
N0912,N0919,0.0096,short_chord
N0913,N0920,0.0133,short_chord
N0914,N0921,0.0030,short_chord
N0915,N0922,0.0067,short_chord
N0916,N0923,0.0104,short_chord
N0917,N0924,0.0001,short_chord
N0918,N0925,0.0038,short_chord
N0919,N0926,0.0075,short_chord
N0920,N0927,0.0112,short_chord
N0921,N0928,0.0009,short_chord
N0922,N0929,0.0046,short_chord
N0923,N0930,0.0083,short_chord
N0924,N0931,0.0120,short_chord
N0925,N0932,0.0017,short_chord
N0926,N0933,0.0054,short_chord
N0927,N0934,0.0091,short_chord
N0928,N0935,0.0128,short_chord
N0929,N0936,0.0025,short_chord
N0930,N0937,0.0062,short_chord
N0931,N0938,0.0099,short_chord
N0932,N0939,0.0136,short_chord
N0933,N0940,0.0033,short_chord
N0934,N0941,0.0070,short_chord
N0935,N0942,0.0107,short_chord
N0936,N0943,0.0004,short_chord
N0937,N0944,0.0041,short_chord
N0938,N0945,0.0078,short_chord
N0939,N0946,0.0115,short_chord
N0940,N0947,0.0012,short_chord
N0941,N0948,0.0049,short_chord
N0942,N0949,0.0086,short_chord
N0943,N0950,0.0123,short_chord
N0944,N0951,0.0020,short_chord
N0945,N0952,0.0057,short_chord
N0946,N0953,0.0094,short_chord
N0947,N0954,0.0131,short_chord
N0948,N0955,0.0028,short_chord
N0949,N0956,0.0065,short_chord
N0950,N0957,0.0102,short_chord
N0951,N0958,0.0139,short_chord
N0952,N0959,0.0036,short_chord
N0953,N0960,0.0073,short_chord
N0954,N0961,0.0110,short_chord
N0955,N0962,0.0007,short_chord
N0956,N0963,0.0044,short_chord
N0957,N0964,0.0081,short_chord
N0958,N0965,0.0118,short_chord
N0959,N0966,0.0015,short_chord
N0960,N0967,0.0052,short_chord
N0961,N0968,0.0089,short_chord
N0962,N0969,0.0126,short_chord
N0963,N0970,0.0023,short_chord
N0964,N0971,0.0060,short_chord
N0965,N0972,0.0097,short_chord
N0966,N0973,0.0134,short_chord
N0967,N0974,0.0031,short_chord
N0968,N0975,0.0068,short_chord
N0969,N0976,0.0105,short_chord
N0970,N0977,0.0002,short_chord
N0971,N0978,0.0039,short_chord
N0972,N0979,0.0076,short_chord
N0973,N0980,0.0113,short_chord
N0974,N0981,0.0010,short_chord
N0975,N0982,0.0047,short_chord
N0976,N0983,0.0084,short_chord
N0977,N0984,0.0121,short_chord
N0978,N0985,0.0018,short_chord
N0979,N0986,0.0055,short_chord
N0980,N0987,0.0092,short_chord
N0981,N0988,0.0129,short_chord
N0982,N0989,0.0026,short_chord
N0983,N0990,0.0063,short_chord
N0984,N0991,0.0100,short_chord
N0985,N0992,0.0137,short_chord
N0986,N0993,0.0034,short_chord
N0987,N0994,0.0071,short_chord
N0988,N0995,0.0108,short_chord
N0989,N0996,0.0005,short_chord
N0990,N0997,0.0042,short_chord
N0991,N0998,0.0079,short_chord
N0992,N0999,0.0116,short_chord
N0993,N1000,0.0013,short_chord
N0994,N0001,0.0050,short_chord
N0995,N0002,0.0087,short_chord
N0996,N0003,0.0124,short_chord
N0997,N0004,0.0021,short_chord
N0998,N0005,0.0058,short_chord
N0999,N0006,0.0095,short_chord
N1000,N0007,0.0132,short_chord
N0001,N0020,0.0005,medium_chord
N0002,N0021,0.0042,medium_chord
N0003,N0022,0.0079,medium_chord
N0004,N0023,0.0116,medium_chord
N0005,N0024,0.0013,medium_chord
N0006,N0025,0.0050,medium_chord
N0007,N0026,0.0087,medium_chord
N0008,N0027,0.0124,medium_chord
N0009,N0028,0.0021,medium_chord
N0010,N0029,0.0058,medium_chord
N0011,N0030,0.0095,medium_chord
N0012,N0031,0.0132,medium_chord
N0013,N0032,0.0029,medium_chord
N0014,N0033,0.0066,medium_chord
N0015,N0034,0.0103,medium_chord
N0016,N0035,0.0140,medium_chord
N0017,N0036,0.0037,medium_chord
N0018,N0037,0.0074,medium_chord
N0019,N0038,0.0111,medium_chord
N0020,N0039,0.0008,medium_chord
N0021,N0040,0.0045,medium_chord
N0022,N0041,0.0082,medium_chord
N0023,N0042,0.0119,medium_chord
N0024,N0043,0.0016,medium_chord
N0025,N0044,0.0053,medium_chord
N0026,N0045,0.0090,medium_chord
N0027,N0046,0.0127,medium_chord
N0028,N0047,0.0024,medium_chord
N0029,N0048,0.0061,medium_chord
N0030,N0049,0.0098,medium_chord
N0031,N0050,0.0135,medium_chord
N0032,N0051,0.0032,medium_chord
N0033,N0052,0.0069,medium_chord
N0034,N0053,0.0106,medium_chord
N0035,N0054,0.0003,medium_chord
N0036,N0055,0.0040,medium_chord
N0037,N0056,0.0077,medium_chord
N0038,N0057,0.0114,medium_chord
N0039,N0058,0.0011,medium_chord
N0040,N0059,0.0048,medium_chord
N0041,N0060,0.0085,medium_chord
N0042,N0061,0.0122,medium_chord
N0043,N0062,0.0019,medium_chord
N0044,N0063,0.0056,medium_chord
N0045,N0064,0.0093,medium_chord
N0046,N0065,0.0130,medium_chord
N0047,N0066,0.0027,medium_chord
N0048,N0067,0.0064,medium_chord
N0049,N0068,0.0101,medium_chord
N0050,N0069,0.0138,medium_chord
N0051,N0070,0.0035,medium_chord
N0052,N0071,0.0072,medium_chord
N0053,N0072,0.0109,medium_chord
N0054,N0073,0.0006,medium_chord
N0055,N0074,0.0043,medium_chord
N0056,N0075,0.0080,medium_chord
N0057,N0076,0.0117,medium_chord
N0058,N0077,0.0014,medium_chord
N0059,N0078,0.0051,medium_chord
N0060,N0079,0.0088,medium_chord
N0061,N0080,0.0125,medium_chord
N0062,N0081,0.0022,medium_chord
N0063,N0082,0.0059,medium_chord
N0064,N0083,0.0096,medium_chord
N0065,N0084,0.0133,medium_chord
N0066,N0085,0.0030,medium_chord
N0067,N0086,0.0067,medium_chord
N0068,N0087,0.0104,medium_chord
N0069,N0088,0.0001,medium_chord
N0070,N0089,0.0038,medium_chord
N0071,N0090,0.0075,medium_chord
N0072,N0091,0.0112,medium_chord
N0073,N0092,0.0009,medium_chord
N0074,N0093,0.0046,medium_chord
N0075,N0094,0.0083,medium_chord
N0076,N0095,0.0120,medium_chord
N0077,N0096,0.0017,medium_chord
N0078,N0097,0.0054,medium_chord
N0079,N0098,0.0091,medium_chord
N0080,N0099,0.0128,medium_chord
N0081,N0100,0.0025,medium_chord
N0082,N0101,0.0062,medium_chord
N0083,N0102,0.0099,medium_chord
N0084,N0103,0.0136,medium_chord
N0085,N0104,0.0033,medium_chord
N0086,N0105,0.0070,medium_chord
N0087,N0106,0.0107,medium_chord
N0088,N0107,0.0004,medium_chord
N0089,N0108,0.0041,medium_chord
N0090,N0109,0.0078,medium_chord
N0091,N0110,0.0115,medium_chord
N0092,N0111,0.0012,medium_chord
N0093,N0112,0.0049,medium_chord
N0094,N0113,0.0086,medium_chord
N0095,N0114,0.0123,medium_chord
N0096,N0115,0.0020,medium_chord
N0097,N0116,0.0057,medium_chord
N0098,N0117,0.0094,medium_chord
N0099,N0118,0.0131,medium_chord
N0100,N0119,0.0028,medium_chord
N0101,N0120,0.0065,medium_chord
N0102,N0121,0.0102,medium_chord
N0103,N0122,0.0139,medium_chord
N0104,N0123,0.0036,medium_chord
N0105,N0124,0.0073,medium_chord
N0106,N0125,0.0110,medium_chord
N0107,N0126,0.0007,medium_chord
N0108,N0127,0.0044,medium_chord
N0109,N0128,0.0081,medium_chord
N0110,N0129,0.0118,medium_chord
N0111,N0130,0.0015,medium_chord
N0112,N0131,0.0052,medium_chord
N0113,N0132,0.0089,medium_chord
N0114,N0133,0.0126,medium_chord
N0115,N0134,0.0023,medium_chord
N0116,N0135,0.0060,medium_chord
N0117,N0136,0.0097,medium_chord
N0118,N0137,0.0134,medium_chord
N0119,N0138,0.0031,medium_chord
N0120,N0139,0.0068,medium_chord
N0121,N0140,0.0105,medium_chord
N0122,N0141,0.0002,medium_chord
N0123,N0142,0.0039,medium_chord
N0124,N0143,0.0076,medium_chord
N0125,N0144,0.0113,medium_chord
N0126,N0145,0.0010,medium_chord
N0127,N0146,0.0047,medium_chord
N0128,N0147,0.0084,medium_chord
N0129,N0148,0.0121,medium_chord
N0130,N0149,0.0018,medium_chord
N0131,N0150,0.0055,medium_chord
N0132,N0151,0.0092,medium_chord
N0133,N0152,0.0129,medium_chord
N0134,N0153,0.0026,medium_chord
N0135,N0154,0.0063,medium_chord
N0136,N0155,0.0100,medium_chord
N0137,N0156,0.0137,medium_chord
N0138,N0157,0.0034,medium_chord
N0139,N0158,0.0071,medium_chord
N0140,N0159,0.0108,medium_chord
N0141,N0160,0.0005,medium_chord
N0142,N0161,0.0042,medium_chord
N0143,N0162,0.0079,medium_chord
N0144,N0163,0.0116,medium_chord
N0145,N0164,0.0013,medium_chord
N0146,N0165,0.0050,medium_chord
N0147,N0166,0.0087,medium_chord
N0148,N0167,0.0124,medium_chord
N0149,N0168,0.0021,medium_chord
N0150,N0169,0.0058,medium_chord
N0151,N0170,0.0095,medium_chord
N0152,N0171,0.0132,medium_chord
N0153,N0172,0.0029,medium_chord
N0154,N0173,0.0066,medium_chord
N0155,N0174,0.0103,medium_chord
N0156,N0175,0.0140,medium_chord
N0157,N0176,0.0037,medium_chord
N0158,N0177,0.0074,medium_chord
N0159,N0178,0.0111,medium_chord
N0160,N0179,0.0008,medium_chord
N0161,N0180,0.0045,medium_chord
N0162,N0181,0.0082,medium_chord
N0163,N0182,0.0119,medium_chord
N0164,N0183,0.0016,medium_chord
N0165,N0184,0.0053,medium_chord
N0166,N0185,0.0090,medium_chord
N0167,N0186,0.0127,medium_chord
N0168,N0187,0.0024,medium_chord
N0169,N0188,0.0061,medium_chord
N0170,N0189,0.0098,medium_chord
N0171,N0190,0.0135,medium_chord
N0172,N0191,0.0032,medium_chord
N0173,N0192,0.0069,medium_chord
N0174,N0193,0.0106,medium_chord
N0175,N0194,0.0003,medium_chord
N0176,N0195,0.0040,medium_chord
N0177,N0196,0.0077,medium_chord
N0178,N0197,0.0114,medium_chord
N0179,N0198,0.0011,medium_chord
N0180,N0199,0.0048,medium_chord
N0181,N0200,0.0085,medium_chord
N0182,N0201,0.0122,medium_chord
N0183,N0202,0.0019,medium_chord
N0184,N0203,0.0056,medium_chord
N0185,N0204,0.0093,medium_chord
N0186,N0205,0.0130,medium_chord
N0187,N0206,0.0027,medium_chord
N0188,N0207,0.0064,medium_chord
N0189,N0208,0.0101,medium_chord
N0190,N0209,0.0138,medium_chord
N0191,N0210,0.0035,medium_chord
N0192,N0211,0.0072,medium_chord
N0193,N0212,0.0109,medium_chord
N0194,N0213,0.0006,medium_chord
N0195,N0214,0.0043,medium_chord
N0196,N0215,0.0080,medium_chord
N0197,N0216,0.0117,medium_chord
N0198,N0217,0.0014,medium_chord
N0199,N0218,0.0051,medium_chord
N0200,N0219,0.0088,medium_chord
N0201,N0220,0.0125,medium_chord
N0202,N0221,0.0022,medium_chord
N0203,N0222,0.0059,medium_chord
N0204,N0223,0.0096,medium_chord
N0205,N0224,0.0133,medium_chord
N0206,N0225,0.0030,medium_chord
N0207,N0226,0.0067,medium_chord
N0208,N0227,0.0104,medium_chord
N0209,N0228,0.0001,medium_chord
N0210,N0229,0.0038,medium_chord
N0211,N0230,0.0075,medium_chord
N0212,N0231,0.0112,medium_chord
N0213,N0232,0.0009,medium_chord
N0214,N0233,0.0046,medium_chord
N0215,N0234,0.0083,medium_chord
N0216,N0235,0.0120,medium_chord
N0217,N0236,0.0017,medium_chord
N0218,N0237,0.0054,medium_chord
N0219,N0238,0.0091,medium_chord
N0220,N0239,0.0128,medium_chord
N0221,N0240,0.0025,medium_chord
N0222,N0241,0.0062,medium_chord
N0223,N0242,0.0099,medium_chord
N0224,N0243,0.0136,medium_chord
N0225,N0244,0.0033,medium_chord
N0226,N0245,0.0070,medium_chord
N0227,N0246,0.0107,medium_chord
N0228,N0247,0.0004,medium_chord
N0229,N0248,0.0041,medium_chord
N0230,N0249,0.0078,medium_chord
N0231,N0250,0.0115,medium_chord
N0232,N0251,0.0012,medium_chord
N0233,N0252,0.0049,medium_chord
N0234,N0253,0.0086,medium_chord
N0235,N0254,0.0123,medium_chord
N0236,N0255,0.0020,medium_chord
N0237,N0256,0.0057,medium_chord
N0238,N0257,0.0094,medium_chord
N0239,N0258,0.0131,medium_chord
N0240,N0259,0.0028,medium_chord
N0241,N0260,0.0065,medium_chord
N0242,N0261,0.0102,medium_chord
N0243,N0262,0.0139,medium_chord
N0244,N0263,0.0036,medium_chord
N0245,N0264,0.0073,medium_chord
N0246,N0265,0.0110,medium_chord
N0247,N0266,0.0007,medium_chord
N0248,N0267,0.0044,medium_chord
N0249,N0268,0.0081,medium_chord
N0250,N0269,0.0118,medium_chord
N0251,N0270,0.0015,medium_chord
N0252,N0271,0.0052,medium_chord
N0253,N0272,0.0089,medium_chord
N0254,N0273,0.0126,medium_chord
N0255,N0274,0.0023,medium_chord
N0256,N0275,0.0060,medium_chord
N0257,N0276,0.0097,medium_chord
N0258,N0277,0.0134,medium_chord
N0259,N0278,0.0031,medium_chord
N0260,N0279,0.0068,medium_chord
N0261,N0280,0.0105,medium_chord
N0262,N0281,0.0002,medium_chord
N0263,N0282,0.0039,medium_chord
N0264,N0283,0.0076,medium_chord
N0265,N0284,0.0113,medium_chord
N0266,N0285,0.0010,medium_chord
N0267,N0286,0.0047,medium_chord
N0268,N0287,0.0084,medium_chord
N0269,N0288,0.0121,medium_chord
N0270,N0289,0.0018,medium_chord
N0271,N0290,0.0055,medium_chord
N0272,N0291,0.0092,medium_chord
N0273,N0292,0.0129,medium_chord
N0274,N0293,0.0026,medium_chord
N0275,N0294,0.0063,medium_chord
N0276,N0295,0.0100,medium_chord
N0277,N0296,0.0137,medium_chord
N0278,N0297,0.0034,medium_chord
N0279,N0298,0.0071,medium_chord
N0280,N0299,0.0108,medium_chord
N0281,N0300,0.0005,medium_chord
N0282,N0301,0.0042,medium_chord
N0283,N0302,0.0079,medium_chord
N0284,N0303,0.0116,medium_chord
N0285,N0304,0.0013,medium_chord
N0286,N0305,0.0050,medium_chord
N0287,N0306,0.0087,medium_chord
N0288,N0307,0.0124,medium_chord
N0289,N0308,0.0021,medium_chord
N0290,N0309,0.0058,medium_chord
N0291,N0310,0.0095,medium_chord
N0292,N0311,0.0132,medium_chord
N0293,N0312,0.0029,medium_chord
N0294,N0313,0.0066,medium_chord
N0295,N0314,0.0103,medium_chord
N0296,N0315,0.0140,medium_chord
N0297,N0316,0.0037,medium_chord
N0298,N0317,0.0074,medium_chord
N0299,N0318,0.0111,medium_chord
N0300,N0319,0.0008,medium_chord
N0301,N0320,0.0045,medium_chord
N0302,N0321,0.0082,medium_chord
N0303,N0322,0.0119,medium_chord
N0304,N0323,0.0016,medium_chord
N0305,N0324,0.0053,medium_chord
N0306,N0325,0.0090,medium_chord
N0307,N0326,0.0127,medium_chord
N0308,N0327,0.0024,medium_chord
N0309,N0328,0.0061,medium_chord
N0310,N0329,0.0098,medium_chord
N0311,N0330,0.0135,medium_chord
N0312,N0331,0.0032,medium_chord
N0313,N0332,0.0069,medium_chord
N0314,N0333,0.0106,medium_chord
N0315,N0334,0.0003,medium_chord
N0316,N0335,0.0040,medium_chord
N0317,N0336,0.0077,medium_chord
N0318,N0337,0.0114,medium_chord
N0319,N0338,0.0011,medium_chord
N0320,N0339,0.0048,medium_chord
N0321,N0340,0.0085,medium_chord
N0322,N0341,0.0122,medium_chord
N0323,N0342,0.0019,medium_chord
N0324,N0343,0.0056,medium_chord
N0325,N0344,0.0093,medium_chord
N0326,N0345,0.0130,medium_chord
N0327,N0346,0.0027,medium_chord
N0328,N0347,0.0064,medium_chord
N0329,N0348,0.0101,medium_chord
N0330,N0349,0.0138,medium_chord
N0331,N0350,0.0035,medium_chord
N0332,N0351,0.0072,medium_chord
N0333,N0352,0.0109,medium_chord
N0334,N0353,0.0006,medium_chord
N0335,N0354,0.0043,medium_chord
N0336,N0355,0.0080,medium_chord
N0337,N0356,0.0117,medium_chord
N0338,N0357,0.0014,medium_chord
N0339,N0358,0.0051,medium_chord
N0340,N0359,0.0088,medium_chord
N0341,N0360,0.0125,medium_chord
N0342,N0361,0.0022,medium_chord
N0343,N0362,0.0059,medium_chord
N0344,N0363,0.0096,medium_chord
N0345,N0364,0.0133,medium_chord
N0346,N0365,0.0030,medium_chord
N0347,N0366,0.0067,medium_chord
N0348,N0367,0.0104,medium_chord
N0349,N0368,0.0001,medium_chord
N0350,N0369,0.0038,medium_chord
N0351,N0370,0.0075,medium_chord
N0352,N0371,0.0112,medium_chord
N0353,N0372,0.0009,medium_chord
N0354,N0373,0.0046,medium_chord
N0355,N0374,0.0083,medium_chord
N0356,N0375,0.0120,medium_chord
N0357,N0376,0.0017,medium_chord
N0358,N0377,0.0054,medium_chord
N0359,N0378,0.0091,medium_chord
N0360,N0379,0.0128,medium_chord
N0361,N0380,0.0025,medium_chord
N0362,N0381,0.0062,medium_chord
N0363,N0382,0.0099,medium_chord
N0364,N0383,0.0136,medium_chord
N0365,N0384,0.0033,medium_chord
N0366,N0385,0.0070,medium_chord
N0367,N0386,0.0107,medium_chord
N0368,N0387,0.0004,medium_chord
N0369,N0388,0.0041,medium_chord
N0370,N0389,0.0078,medium_chord
N0371,N0390,0.0115,medium_chord
N0372,N0391,0.0012,medium_chord
N0373,N0392,0.0049,medium_chord
N0374,N0393,0.0086,medium_chord
N0375,N0394,0.0123,medium_chord
N0376,N0395,0.0020,medium_chord
N0377,N0396,0.0057,medium_chord
N0378,N0397,0.0094,medium_chord
N0379,N0398,0.0131,medium_chord
N0380,N0399,0.0028,medium_chord
N0381,N0400,0.0065,medium_chord
N0382,N0401,0.0102,medium_chord
N0383,N0402,0.0139,medium_chord
N0384,N0403,0.0036,medium_chord
N0385,N0404,0.0073,medium_chord
N0386,N0405,0.0110,medium_chord
N0387,N0406,0.0007,medium_chord
N0388,N0407,0.0044,medium_chord
N0389,N0408,0.0081,medium_chord
N0390,N0409,0.0118,medium_chord
N0391,N0410,0.0015,medium_chord
N0392,N0411,0.0052,medium_chord
N0393,N0412,0.0089,medium_chord
N0394,N0413,0.0126,medium_chord
N0395,N0414,0.0023,medium_chord
N0396,N0415,0.0060,medium_chord
N0397,N0416,0.0097,medium_chord
N0398,N0417,0.0134,medium_chord
N0399,N0418,0.0031,medium_chord
N0400,N0419,0.0068,medium_chord
N0401,N0420,0.0105,medium_chord
N0402,N0421,0.0002,medium_chord
N0403,N0422,0.0039,medium_chord
N0404,N0423,0.0076,medium_chord
N0405,N0424,0.0113,medium_chord
N0406,N0425,0.0010,medium_chord
N0407,N0426,0.0047,medium_chord
N0408,N0427,0.0084,medium_chord
N0409,N0428,0.0121,medium_chord
N0410,N0429,0.0018,medium_chord
N0411,N0430,0.0055,medium_chord
N0412,N0431,0.0092,medium_chord
N0413,N0432,0.0129,medium_chord
N0414,N0433,0.0026,medium_chord
N0415,N0434,0.0063,medium_chord
N0416,N0435,0.0100,medium_chord
N0417,N0436,0.0137,medium_chord
